CPRO,CGEN,CRAC,CJOB,CQUI,TEIN,TAIN,TSII,TOIN,FEDU,FVTP,FCRA,FTAP,LHO1,LHO2,LHO3,LHO4,LCRE,LSAV,LWDA,PPO1,PPO2,PPO3,PPO4,PPO5,ARO1,ARO2,ARO3,ARO4,ARO5
1,1,1,1,2,57,37,0,20,2,2,1,1,,,,1,,,365,4,1,2,1,2,3,3,1,1,1
1,1,2,2,1,120,53,25,42,1,1,1,2,,,,1,,,60,,5,1,,,,,,,
1,1,2,1,3,33,23,0,10,1,1,1,,,1,,,,,60,,,,,,,,,,
1,1,1,1,3,41,26,0,15,1,1,2,2,,1,,,6,,60,5,3,1,1,3,1,1,1,1,1
1,1,2,1,3,27,26,0,1,1,1,1,,,1,,,,18,60,,,,,,,,,1,
1,1,2,1,4,31,25,0,6,0,1,1,1,,1,,,,,260,1,1,1,1,1,2,1,1,1,1
1,1,2,1,5,53,53,0,0,1,1,1,1,,1,,,,,270,1,2,1,1,1,1,3,1,1,3
1,1,2,1,5,21,21,0,0,0,1,1,1,,1,,,,,260,1,1,5,3,2,3,1,1,1,1
1,1,2,1,5,24,24,0,0,0,1,1,,,1,,,,,270,,,,,,,,,,
1,1,2,1,4,18,18,0,0,0,1,1,1,,1,,,,5,270,1,1,1,1,1,3,1,1,1,1
1,1,2,1,5,28,28,0,0,0,1,1,1,,1,,,,,270,1,1,2,1,1,1,1,1,1,1
1,1,2,1,4,25,25,0,0,1,1,1,1,,1,,,,,270,1,1,1,1,1,1,1,1,1,1
1,1,2,1,5,24,24,0,0,0,1,1,1,1,,,,,6,260,1,1,1,1,1,3,1,1,1,3
1,1,2,1,4,22,18,0,4,0,1,1,,,1,,,,,,,,,,,,,,,
1,1,2,1,5,27,23,4,0,0,1,1,2,1,,,,,,180,,,3,,,,,,,
1,1,2,1,4,18,13,0,5,1,1,2,2,,1,,,10,,180,4,5,4,1,1,1,2,1,1,1
